# Bangla word list for Amader Bangla Keyboard.
# Derived from the Google language-resources (bn) lexicon,
# https://github.com/google/language-resources  (CC BY 4.0).
# Format: bangla<TAB>freq
অন্দরমহলের	6
অন্দরসজ্জা	7
অন্দরসজ্জার	6
অন্দরসাজ	8
অন্দরে	10
অন্দরের	9
অন্দোলনের	8
অন্ধ	11
অন্ধকার	9
অন্ধকারকে	8
অন্ধকারাচ্ছন্ন	5
অন্ধকারে	9
অন্ধকারেই	8
অন্ধকারেও	8
অন্ধকারের	8
অন্ধত্ব	9
অন্ধত্বের	8
অন্ধবিশ্বাস	7
অন্ধের	10
অন্ধ্র	10
অন্ধ্রপ্রদেশ	6
অন্ধ্রপ্রদেশে	6
অন্ধ্রপ্রদেশের	5
অন্ধ্রের	9
অন্ন	11
অন্নপূর্ণা	8
অন্নপূর্ণার	7
অন্নের	10
অন্বেষণ	9
অন্বেষণে	9
অন্বেষণের	8
অন্বেষা	10
অন্য	11
অন্যকিছু	9
অন্যকে	10
অন্যকেও	9
অন্যকোন	9
অন্যকোনো	9
অন্যখানে	9
অন্যগুলো	9
অন্যগুলোর	8
অন্যজন	9
অন্যজনকে	8
অন্যজনের	8
অন্যজীবন	8
অন্যটা	10
অন্যটি	10
অন্যটিকে	9
অন্যটিতে	9
অন্যটির	9
অন্যতম	9
অন্যত্র	9
অন্যথা	10
অন্যদল	9
অন্যদিক	9
অন্যদিকে	9
অন্যদিন	9
অন্যদিনের	8
অন্যদের	9
অন্যদেরও	8
অন্যন্য	9
অন্যপক্ষ	8
অন্যপক্ষে	8
অন্যপাশে	9
অন্যপ্রকাশ	7
অন্যপ্রান্তে	7
অন্যবার	9
অন্যবারের	8
অন্যভাবে	9
অন্যভাবেও	8
অন্যমনস্ক	7
অন্যমেলা	9
অন্যরকম	8
অন্যরা	10
অন্যরাও	9
অন্যসব	9
অন্যস্থানে	8
অন্যান্য	9
অন্যান্যদের	7
অন্যান্যবারের	6
অন্যান্যরা	8
অন্যান্যের	8
অন্যায্য	9
অন্যে	11
অন্যের	10
অন্যেরা	10
অপ	12
অপকর্ম	9
অপকর্মে	9
অপকর্মের	8
অপকার	10
অপকারিতা	9
অপকৌশল	9
অপঘাতে	10
অপচিকিৎসা	8
অপচেষ্টা	9
অপছন্দ	9
অপছন্দের	8
অপটিক	10
অপটিক্যাল	8
অপটিক্সের	8
অপটিমাইজেশন	6
অপতৎপরতা	7
অপতৎপরতার	6
অপত্য	10
অপদস্থ	9
অপদার্থ	9
অপপ্রচার	8
অপপ্রচারে	8
অপপ্রচারের	7
অপবাদ	10
অপবাদে	10
অপবাদের	9
অপবিত্র	9
অপব্যবহার	7
অপব্যবহারে	7
অপব্যবহারের	6
অপব্যাখ্যা	8
অপভ্রংশ	9
অপমান	10
অপমানকর	8
অপমানজনক	7
অপমানিত	9
অপমানে	10
অপমানের	9
অপমৃত্যু	9
অপমৃত্যুর	8
অপর	11
অপরকে	10
অপরজন	9
অপরজনকে	8
অপরজনের	8
অপরটি	10
অপরটিতে	9
অপরটির	9
অপরদিকে	9
অপরপক্ষে	8
অপরপ্রান্তে	7
অপরাজনীতি	8
অপরাজনীতির	7
অপরাজিত	9
অপরাজিতা	9
অপরাধ	10
অপরাধও	9
অপরাধকে	9
অপরাধগুলো	8
অপরাধজনক	7
অপরাধপ্রবণ	6
অপরাধপ্রবণতা	5
অপরাধবোধ	8
অপরাধমূলক	7
অপরাধী	10
অপরাধীকে	9
অপরাধীদের	8
অপরাধীর	9
অপরাধীরা	9
অপরাধে	10
অপরাধের	9
অপরাপর	9
অপরাহ	10
অপরাহ্নে	9
অপরিকল্পিত	7
অপরিকল্পিতভাবে	5
অপরিচিত	9
অপরিচ্ছন্ন	7
অপরিচ্ছন্নতা	6
অপরিণত	9
অপরিণামদর্শী	6
অপরিপক্ক	8
অপরিবর্তিত	7
অপরিমিত	9
অপরিশোধিত	8
অপরিষ্কার	8
অপরিসীম	9
অপরিহার্য	8
অপরিহার্যতা	7
অপরূপ	10
অপরূপা	10
অপরে	11
অপরের	10
অপর্ণা	10
অপর্ণার	9
অপর্যাপ্ত	8
অপর্যাপ্ততা	7
অপলক	10
অপশক্তি	9
অপশক্তিকে	8
অপশক্তির	8
অপশন	10
অপশনও	9
অপশনটি	9
অপশনে	10
অপশনের	9
অপশাসন	9
অপসংস্কৃতি	8
অপসংস্কৃতির	7
অপসারণ	9
অপসারণে	9
অপসারণের	8
অপসারিত	9
অপহরণ	9
অপহরণকারী	7
